city_name,avg_rain,max_rain,avg_temp,max_temp,avg_uv_index,max_uv_index,Latitude,Longitude
Mont Saint Michel,0.0331858407079646,0.49,3.820710059171598,8.5,0.21301775147928995,3.0,48.6359541,-1.511459954959514
St Malo,0.051769911504424775,0.61,4.568639053254438,8.7,0.21301775147928995,3.0,48.649518,-2.0260409
Bayeux,0.015486725663716814,0.4,3.5627218934911244,9.0,0.21301775147928995,3.0,49.2764624,-0.7024738
Le Havre,0.01566371681415929,0.25,3.9266272189349105,7.8,0.24260355029585798,3.0,49.4938975,0.1079732
Rouen,0.026283185840707962,0.39,3.2526627218934916,9.0,0.21893491124260356,3.0,49.4404591,1.0939658
Paris,0.0431858407079646,0.55,3.0278106508875737,7.3,0.22485207100591717,3.0,48.8534951,2.3483915
Amiens,0.019203539823008847,0.34,3.007692307692307,8.7,0.22485207100591717,3.0,49.8941708,2.2956951
Lille,0.014601769911504426,0.2,3.079289940828403,8.7,0.21301775147928995,3.0,50.6365654,3.0635282
Strasbourg,0.09610619469026548,0.7,1.1189349112426037,6.1,0.24260355029585798,3.0,48.584614,7.7507127
Chateau du Haut Koenigsbourg,0.11221238938053098,0.81,-0.8905325443786982,6.5,0.25443786982248523,3.0,48.2495226,7.3454923
Colmar,0.10938053097345132,0.66,1.3035502958579883,8.2,0.23668639053254437,3.0,48.0777517,7.3579641
Eguisheim,0.10893805309734514,0.63,1.4360946745562129,8.7,0.24260355029585798,3.0,48.0447968,7.3079618
Besancon,0.07681415929203542,0.83,1.7532544378698223,8.6,0.2485207100591716,3.0,47.2380222,6.0243622
Dijon,0.06504424778761062,0.59,2.4142011834319526,9.4,0.1952662721893491,2.0,47.3215806,5.0414701
Annecy,0.05283185840707965,0.68,0.6485207100591717,8.8,0.35502958579881655,4.0,45.8992348,6.1288847
Grenoble,0.035398230088495575,0.38,3.724852071005917,13.3,0.378698224852071,3.0,45.1875602,5.7357819
Lyon,0.07699115044247787,1.17,2.8455621301775147,10.7,0.22485207100591717,3.0,45.7578137,4.8320114
Gorges du Verdon,0.07176991150442477,0.86,3.437869822485207,11.7,0.4556213017751479,4.0,43.7496562,6.3285616
Bormes les Mimosas,0.05398230088495576,0.57,8.899408284023668,14.5,0.33136094674556216,3.0,43.1506968,6.3419285
Cassis,0.04460176991150442,0.53,9.598816568047337,15.3,0.27218934911242604,3.0,43.2140359,5.5396318
Marseille,0.038672566371681406,0.45,9.067455621301775,15.4,0.28994082840236685,4.0,43.2961743,5.3699525
Aix en Provence,0.0115929203539823,0.19,6.524852071005919,15.6,0.3431952662721893,4.0,43.5298424,5.4474738
Avignon,0.1570796460176991,1.66,6.155621301775149,11.9,0.35502958579881655,4.0,43.9492493,4.8059012
Uzes,0.23646017699115043,2.0,5.711834319526627,11.2,0.34911242603550297,4.0,44.0121279,4.4196718
Nimes,0.2408849557522124,1.71,6.503550295857988,12.4,0.33727810650887574,4.0,43.8374249,4.3600687
Aigues Mortes,0.29097345132743363,1.97,7.153846153846154,13.5,0.33727810650887574,4.0,43.5661521,4.19154
Saintes Maries de la mer,0.35451327433628327,2.33,7.8609467455621305,13.8,0.3431952662721893,3.0,43.4515922,4.4277202
Collioure,0.19592920353982302,3.78,9.145562130177515,15.0,0.34911242603550297,3.0,42.52505,3.0831554
Carcassonne,0.036371681415929204,0.54,6.208875739644972,12.7,0.33136094674556216,3.0,43.2130358,2.3491069
Ariege,0.1513274336283186,3.1,-10.278106508875739,1.2,0.15976331360946747,2.0,51.18111155,-55.98447423947262
Toulouse,0.028495575221238936,0.28,5.122485207100592,12.3,0.3905325443786982,3.0,43.6044622,1.4442469
Montauban,0.0031858407079646016,0.36,4.399408284023669,12.9,0.39644970414201186,3.0,44.0175835,1.3549991
Biarritz,0.05831858407079646,1.13,6.487573964497042,13.1,0.40236686390532544,3.0,43.47114375,-1.552726590666314
Bayonne,0.06256637168141593,1.1,6.773964497041421,14.0,0.39644970414201186,3.0,43.4945144,-1.4736657
La Rochelle,0.0424778761061947,0.51,4.3017751479289945,10.6,0.28994082840236685,3.0,46.159732,-1.1515951
