,precision,recall,f1-score,support
benign,0.8770053475935828,0.9136490250696379,0.8949522510231923,359.0
malignant,0.8908450704225352,0.8461538461538461,0.8679245283018868,299.0
accuracy,0.8829787234042553,0.8829787234042553,0.8829787234042553,0.8829787234042553
macro avg,0.883925209008059,0.879901435611742,0.8814383896625395,658.0
weighted avg,0.8832942186055233,0.8829787234042553,0.8826706566559122,658.0
